Common Name,Double,Variable,SAO #,RA (hr),RA (min),Dec Deg,Dec Amin,Mag,Const,Sep,Description
,,,4855,3,14.3,74,14.6,7.2,,,
,HD 19615 ,,4858,3,15.1,73,52.1,"6.6,12.4",Cas,Sep AB:47,Double Star
,,,4863,3,17.4,78,52.5,6.7,,,
,,,4875,3,20.3,77,44.1,5.5,,,
,,,4878,3,19.9,75,14.3,7.5,,,
,,,4884,3,21.0,73,42.0,7.1,,,
,,,4891,3,22.9,71,16.9,7.4,,,
,,,4897,3,24.0,74,10.4,6.9,,,
,,,4902,3,25.4,71,41.1,7.5,,,
,,,4903,3,25.8,73,12.5,7.3,,,
,,,4904,3,28.0,78,28.7,7.5,,,
,,,4905,3,26.7,72,12.4,7.5,,,
,,,4917,3,30.3,71,51.8,6.8,,,
,,,4936,3,35.2,73,20.8,6.4,,,
,,,4951,3,38.6,74,44.2,7.5,,,
,,,4953,3,39.4,75,44.4,6.4,,,
,,,4972,3,45.1,74,32.6,6.8,,,
,HD 22912 ,,4984,3,46.2,71,37.1,"7,11.1",Cam,Sep AB:12,Double Star
,,,4993,3,49.2,75,46.1,7.7,,,
,,,5000,3,49.2,70,52.3,5.4,,,
,HD 23401 Gamma Cam; Seginus,,5006,3,50.4,71,20.0,"4.7,13.2,8.6",Cam,"Sep AB:56, Sep AC:106",Double Star
,,,5010,3,52.4,76,36.6,7.7,,,
,,,5038,3,56.6,74,4.8,7,,,
,,,5040,3,56.5,71,49.3,6.4,,,
,,,5046,3,58.0,72,43.5,6.8,,,
,,,5062,4,3.2,78,12.2,7,,,
,,,5080,4,6.2,76,25.0,7.7,,,
,,,5087,4,7.4,75,10.8,7.3,,,
,,,5088,4,7.2,74,0.1,6.7,,,
,,,5089,4,7.4,74,38.2,6.9,,,
,,,5104,4,9.4,73,34.2,6.9,,,
,,,5105,4,9.0,71,20.6,7.5,,,
,,,5109,4,12.2,79,1.8,7.2,,,
,,,5125,4,13.7,72,7.6,6.1,,,
,,,5142,4,17.0,70,27.1,7.3,,,
,,,5153,4,20.0,78,4.8,7.1,,,
,,,5154,4,18.5,72,24.6,7.5,,,
,,,5155,4,19.5,74,38.2,7.5,,,
,,,5164,4,21.3,76,6.4,6.6,,,
,,,5196,4,28.7,79,42.1,7.4,,,
,,,5198,4,27.0,71,46.9,7.2,,,
,,,5238,4,33.5,72,31.8,6,,,
,,,5252,4,37.7,78,59.2,7.4,,,
,HD 28760 ,,5263,4,38.1,71,28.2,"7.7,10.5",Cam,Sep AB:26,Double Star
,,,5265,4,39.7,76,57.0,7.5,,,
,,,5266,4,39.1,74,28.2,7.6,,,
,,,5270,4,40.5,76,34.0,7.5,,,
,,,5281,4,45.2,79,39.4,6.6,,,
,,,5289,4,46.0,76,36.8,6.5,,,
,,,5309,4,48.8,75,56.6,6,,,
,,,5326,4,50.6,70,56.5,6.4,,,
,,,5335,4,52.9,75,42.7,7.2,,,
,,,5336,4,53.9,77,34.0,7.3,,,
,,,5373,5,0.9,77,46.5,7.2,,,
,,,5385,5,2.3,74,16.1,6.2,,,
,,,5403,5,4.2,73,45.9,6.8,,,
,,,5407,5,4.7,74,4.0,6,,,
,,,5409,5,6.1,76,49.4,7.4,,,
,,,5435,5,9.6,76,37.5,7.6,,,
,HD 32230 ,,5442,5,10.0,75,41.0,"7.3,9",Cam,Sep AB:47,Double Star
,,,5455,5,12.4,73,56.8,5.4,,,
,,,5461,5,13.0,70,58.2,7.4,,,
,,,5464,5,14.6,76,28.4,6.3,,,
,,,5478,5,17.5,74,32.2,7.2,,,
,,,5481,5,18.5,75,56.8,7.4,,,
,,,5483,5,18.2,73,16.1,5.8,,,
,,,5496,5,22.6,79,13.7,5.2,,,
,,,5501,5,20.6,71,42.9,6.8,,,
,,,5503,5,22.1,75,11.8,7.4,,,
,,,5516,5,26.2,78,24.9,6.8,,,
,,,5517,5,25.0,73,42.4,7,,,
,,,5530,5,28.8,78,18.1,6.8,,,
,,,5531,5,27.7,74,33.4,7.5,,,
,,,5533,5,26.8,70,13.7,7,,,
,,,5535,5,29.4,77,58.7,6.5,,,
,,,5539,5,28.5,74,18.5,6.9,,,
,,,5553,5,31.0,71,55.5,7.5,,,
,,,5554,5,34.0,79,51.2,7.3,,,
,,,5558,5,34.2,78,19.4,7.3,,,
,,,5577,5,38.0,78,21.7,7.7,,,
,,,5578,5,36.9,74,19.2,7,,,
,,,5581,5,37.5,74,41.5,7.5,,,
,,,5587,5,37.9,71,39.3,6.8,,,
,,,5591,5,40.1,76,46.1,7.5,,,
,,,5593,5,39.7,75,2.6,6.4,,,
,,,5594,5,38.7,70,21.9,6.9,,,
,,,5601,5,41.4,77,32.2,7.4,,,
,,,5609,5,42.0,76,27.9,7.6,,,
,,,5620,5,43.0,73,59.1,6.8,,,
,,,5626,5,46.0,79,37.3,7.4,,,
,,,5641,5,46.4,74,36.8,7.3,,,
,,,5665,5,50.4,75,42.9,7.7,,,
,,,5673,5,52.3,71,17.4,7.2,,,
,HD 38399 ,,5682,5,55.1,76,52.2,"8.1,11.5",Cam,Sep AB:27,Double Star
,,,5683,5,55.6,77,55.5,7.7,,,
,,,5730,6,5.1,75,35.2,6.5,,,
,,,5742,6,6.7,72,36.2,7.5,,,
,,,5770,6,13.0,77,17.2,7.1,,,
,,,5774,6,11.9,71,7.8,7.5,,,
,,,5793,6,16.0,70,47.3,7.6,,,
,,,5809,6,19.6,76,49.7,7.2,,,
,,,5817,6,20.7,72,8.8,6.8,,,
,,,5826,6,23.1,74,50.8,7.5,,,
,,,5827,6,24.0,75,39.4,7.7,,,
,,,5837,6,27.7,77,14.5,7.2,,,
,,,5843,6,27.5,76,1.2,7.2,,,
,,,5848,6,28.9,77,54.5,7.5,,,
,,,5853,6,29.4,78,17.1,7.5,,,
,HD 44472 ,,5861,6,28.2,70,32.1,"6,9.8",Cam,Sep AB:6,Double Star
,,,5872,6,32.9,79,28.1,7.5,,,
,,,5874,6,33.1,78,58.8,6.7,,,
,,,5877,6,33.4,78,10.1,7.5,,,
,,,5891,6,36.6,77,55.5,7.5,,,
,,,5903,6,36.9,70,30.3,7.7,,,
,,,5909,6,37.9,73,41.8,6.2,,,
,,,5911,6,40.3,79,36.0,6.5,,,
,HD 45875 ,,5913,6,38.7,75,42.5,"7.8,11.1",Cam,Sep AB:65,Double Star
,,,5919,6,40.5,77,59.8,5.9,,,
,,,5925,6,40.5,71,44.9,6.1,,,
,,,5943,6,44.5,76,35.2,7.2,,,
,,,5946,6,46.3,79,34.4,5.6,,,
,,,5969,6,48.6,76,59.4,7.6,,,
,,,5987,6,52.2,77,13.5,7.1,,,
,,,5994,6,54.2,78,0.5,7.6,,,
,,,5996,6,53.0,74,8.2,7.2,,,
,,,6022,7,0.0,76,58.7,4.8,,,
,,,6041,7,1.3,70,48.5,5.8,,,
,HD 51067 ,,6050,7,4.1,75,13.9,"7.2,8.2",Cam,Sep AB:13,Double Star
,,,6052,7,4.1,75,14.0,7.6,,,
,,,6053,7,4.2,75,24.7,7.3,,,
,,,6054,7,3.5,71,45.4,7.3,,,
,,,6059,7,4.5,73,25.7,7.5,,,
,,,6072,7,6.6,76,10.3,7.2,,,
,,,6074,7,5.9,70,43.9,6.6,,,
,HD 52762 ,,6092,7,9.1,71,57.6,"7,11.4",Cam,Sep AB:64,Double Star
,,,6102,7,13.9,78,45.1,6.9,,,
,,,6115,7,14.0,71,49.0,6.5,,,
,,,6155,7,22.7,77,53.8,7.5,,,
,,,6156,7,21.8,75,5.4,7,,,
,,,6169,7,25.4,78,15.3,7.3,,,
,,,6173,7,26.2,78,2.7,7.1,,,
,,,6180,7,25.9,73,51.1,7.4,,,
,,,6184,7,27.0,75,36.7,7.5,,,
,HD 57044 ,,6187,7,26.6,73,4.9,"7.4,9.2,7.8",Cam,"Sep AB:1.1, Sep AC:31",Double Star
,,,6200,7,29.0,74,8.9,7.7,,,
,,,6207,7,31.2,76,57.3,7.2,,,
,,,6213,7,33.1,78,41.3,7.4,,,
,,,6226,7,32.2,71,21.8,7.6,,,
,,,6238,7,34.2,71,35.4,7.6,,,
,,,6244,7,36.0,76,50.0,7.4,,,
,,,6259,7,38.6,73,35.8,7.4,,,
,,,6273,7,42.2,75,33.9,7.4,,,
,,,6288,7,44.8,76,4.6,7.7,,,
,,,6305,7,48.4,76,59.2,7.1,,,
,,,6310,7,47.5,70,12.5,7.1,,,
,,,6315,7,48.6,74,2.6,7.6,,,
,,,6336,7,52.6,71,47.1,7.4,,,
,,,6349,7,54.3,71,4.8,7.2,,,
,,,6357,7,57.7,77,34.6,6.8,,,
,,,6359,7,56.6,71,50.8,7.2,,,
,,,6363,7,59.6,79,51.7,6.9,,,
