M,C,N,NI,Class,h,GC,Other,Discoverer,Y,M,D,Ap,T,Observer1,Observer2,RH,RM,RS,V,DG,DM,DS,Con,Dist (kly),Vmag,Type,S,Remarks
99,3,N,4254,,1173,2838,,Méchain,1781,3,15,3.0,Rr,,,12,18,49.3,+,14,25,3,COM,50200,9.9,Sc,1,
100,3,N,4321,,1211,2890,,Méchain,1781,3,15,3.0,Rr,,,12,22,54.9,+,15,49,22,COM,55000,9.4,SBbc,1,
101,3,N,5457,,1744,3770,,Méchain,1781,3,27,3.0,Rr,,,14,3,12.4,+,54,20,58,UMA,20750,7.9,Sc,1,Pinwheel Galaxy
102,3,N,5866,I 215,1909,4058,,Méchain,1781,3,27,3.0,Rr,Herschel W. 5.5.1788,,15,6,29.4,+,55,45,49,DRA,50000,9.9,S0-a,1,
103,3,N,581,,126,341,Σ 131,Méchain,1781,4,,3.0,Rr,Struve W. 1825,,1,33,23.0,+,60,39,30,CAS,10,7.4,III2p,4,
104,x,N,4594,I 43,1376,3132,,Méchain,1781,5,11,3.0,Rr,Herschel W. 9.5.1784,,12,39,59.3,-,11,37,21,VIR,29800,8.0,Sa,1,Sombrero Galaxy
105,x,N,3379,I 17,757,2203,,Méchain,1781,3,24,3.0,Rr,Herschel W. 11.3.1784,,10,47,49.5,+,12,34,52,LEO,32000,9.3,E1,1,
106,x,N,4258,V 43,1175,2841,,Méchain,1781,7,,3.0,Rr,Herschel W. 9.3.1788,,12,18,57.8,+,47,18,25,CVN,23700,8.4,SBbc,1,
107,x,N,6171,VI 40,3637,4211,,Méchain,1782,4,,3.0,Rr,Herschel W. 12.5.1793,,16,32,31.9,-,13,3,11,OPH,20.9,7.8,X,5,
108,x,N,3556,V 46,831,2318,,Méchain,1781,2,16,3.0,Rr,Herschel W. 17.4.1789,,11,11,29.4,+,55,40,22,UMA,46000,10.0,Sc,1,
109,x,N,3992,IV 61,1030,2635,,Méchain,1781,3,12,3.0,Rr,Herschel W. 12.4.1789,,11,57,35.4,+,53,22,25,UMA,83500,9.8,SBbc,1,
110,x,N,205,V 18,44,105,,Messier,1773,8,10,3.5,Rr,Herschel C. 27.8.1783,,0,40,22.1,+,41,41,7,AND,2690,8.1,E5,1,
